Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,date,expName,session,participant,
Yes-No Task,45,0,45,0,5.3,-1,Correct Rejection,0.336124599969,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_51,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,46,0,46,0,5.3,-1,Hit,0.500163699966,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_52,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,47,0,47,0,5.3,-1,Hit,0.352104399994,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_53,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,48,0,48,0,5.3,-1,Correct Rejection,0.351945500006,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_54,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,49,0,49,0,5.3,-1,Hit,0.584908399964,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_55,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,50,0,50,0,5.3,-1,Miss,0.452680100047,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_56,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,51,0,51,0,5.3,-1,Correct Rejection,0.383234599954,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_57,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,52,0,52,0,5.3,-1,Correct Rejection,0.36770100001,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_58,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,53,0,53,0,5.3,-1,Hit,0.452252399991,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_59,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,54,0,54,0,5.3,-1,Correct Rejection,0.351212900016,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_60,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,55,0,55,0,5.3,-1,Miss,0.298848200007,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_61,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,56,0,56,0,5.3,-1,Hit,0.484219900041,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_62,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,57,0,57,0,5.3,-1,Hit,0.368822799996,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_63,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,58,0,58,0,5.3,-1,Miss,0.516846899991,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_64,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,59,0,59,0,5.3,-1,Miss,0.334709600022,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_65,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,60,0,60,0,5.3,-1,False Alarm,0.498770800012,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_66,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,61,0,61,0,5.3,-1,Correct Rejection,0.534952099959,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_67,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,62,0,62,0,5.3,-1,Correct Rejection,0.767349299975,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_68,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,63,0,63,0,5.3,-1,Hit,0.552347899997,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_69,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,64,0,64,0,5.3,-1,Miss,0.450878400006,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_70,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,65,0,65,0,5.3,-1,Hit,0.517798200017,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_71,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,66,0,66,0,5.3,-1,False Alarm,0.617333400005,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_72,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,67,0,67,0,5.3,-1,Correct Rejection,0.48333170003,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_73,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
